12:27:44 -> lat:40.2327852, lon:29.0090958, alt:0.0, spd:0.000, btr:46, hea:89, mod:LAND, arm:Disarmed
12:27:45 -> lat:40.2327852, lon:29.0090958, alt:0.0, spd:0.000, btr:46, hea:89, mod:LAND, arm:Disarmed
12:27:45 -> lat:40.2327852, lon:29.0090958, alt:0.0, spd:0.000, btr:46, hea:89, mod:LAND, arm:Disarmed
12:27:46 -> lat:40.2327852, lon:29.0090958, alt:0.0, spd:0.000, btr:46, hea:89, mod:LAND, arm:Disarmed
12:27:46 -> lat:40.2327852, lon:29.0090958, alt:0.0, spd:0.000, btr:46, hea:89, mod:LAND, arm:Disarmed
12:27:47 -> lat:40.2327852, lon:29.0090958, alt:0.0, spd:0.000, btr:46, hea:89, mod:LAND, arm:Disarmed
12:27:47 -> lat:40.2327852, lon:29.0090958, alt:0.0, spd:0.000, btr:46, hea:89, mod:LAND, arm:Disarmed
12:27:48 -> lat:40.2327852, lon:29.0090958, alt:0.0, spd:0.000, btr:46, hea:89, mod:LAND, arm:Disarmed
12:27:48 -> lat:40.2327852, lon:29.0090958, alt:0.0, spd:0.000, btr:46, hea:89, mod:LAND, arm:Disarmed
12:27:49 -> lat:40.2327852, lon:29.0090958, alt:0.0, spd:0.000, btr:46, hea:89, mod:LAND, arm:Disarmed
12:27:49 -> lat:40.2327852, lon:29.0090958, alt:0.0, spd:0.000, btr:46, hea:89, mod:LAND, arm:Disarmed
12:27:50 -> lat:40.2327852, lon:29.0090958, alt:0.0, spd:0.000, btr:46, hea:89, mod:LAND, arm:Disarmed
12:27:50 -> lat:40.2327852, lon:29.0090958, alt:0.0, spd:0.000, btr:46, hea:89, mod:LAND, arm:Disarmed
12:27:51 -> lat:40.2327852, lon:29.0090958, alt:0.0, spd:0.000, btr:46, hea:89, mod:LAND, arm:Disarmed
12:27:51 -> lat:40.2327852, lon:29.0090958, alt:0.0, spd:0.000, btr:46, hea:89, mod:LAND, arm:Disarmed
12:27:52 -> lat:40.2327852, lon:29.0090958, alt:0.0, spd:0.000, btr:46, hea:89, mod:LAND, arm:Disarmed
12:27:52 -> lat:40.2327852, lon:29.0090958, alt:0.0, spd:0.000, btr:46, hea:89, mod:LAND, arm:Disarmed
12:27:53 -> lat:40.2327852, lon:29.0090958, alt:0.0, spd:0.000, btr:46, hea:89, mod:LAND, arm:Disarmed
12:27:53 -> lat:40.2327852, lon:29.0090958, alt:0.0, spd:0.000, btr:46, hea:89, mod:LAND, arm:Disarmed
12:27:54 -> lat:40.2327852, lon:29.0090958, alt:0.0, spd:0.000, btr:46, hea:89, mod:LAND, arm:Disarmed
12:27:54 -> lat:40.2327852, lon:29.0090958, alt:0.0, spd:0.000, btr:46, hea:89, mod:LAND, arm:Disarmed
12:27:55 -> lat:40.2327852, lon:29.0090958, alt:0.0, spd:0.000, btr:46, hea:89, mod:LAND, arm:Disarmed
12:27:55 -> lat:40.2327852, lon:29.0090958, alt:0.0, spd:0.000, btr:46, hea:89, mod:LAND, arm:Disarmed
12:27:56 -> lat:40.2327852, lon:29.0090958, alt:0.0, spd:0.000, btr:46, hea:89, mod:LAND, arm:Disarmed
12:27:56 -> lat:40.2327852, lon:29.0090958, alt:0.0, spd:0.000, btr:46, hea:89, mod:GUIDED, arm:Disarmed
12:27:57 -> lat:40.2327851, lon:29.0090955, alt:0.0, spd:0.000, btr:46, hea:89, mod:GUIDED, arm:Disarmed
12:27:57 -> lat:40.232785, lon:29.0090952, alt:0.0, spd:0.000, btr:46, hea:90, mod:GUIDED, arm:Armed
12:27:58 -> lat:40.2327848, lon:29.009095, alt:0.0, spd:0.000, btr:46, hea:90, mod:GUIDED, arm:Armed
12:27:58 -> lat:40.2327848, lon:29.0090949, alt:0.0, spd:0.020, btr:46, hea:90, mod:GUIDED, arm:Armed
12:27:59 -> lat:40.2327849, lon:29.009095, alt:0.06, spd:0.060, btr:46, hea:90, mod:GUIDED, arm:Armed
12:27:59 -> lat:40.232785, lon:29.0090952, alt:0.22, spd:0.100, btr:46, hea:90, mod:GUIDED, arm:Armed
12:28:00 -> lat:40.2327852, lon:29.0090955, alt:0.78, spd:0.100, btr:46, hea:90, mod:GUIDED, arm:Armed
12:28:00 -> lat:40.2327853, lon:29.0090958, alt:1.5, spd:0.070, btr:45, hea:90, mod:GUIDED, arm:Armed
